,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
KBH,38.270863,2141675,42.979427,2141675,1.831527,4644994560,1.0932031,47.37,7.330734,15.37,0
KBR,28.182087,2265387,32.196,2265387,1.358613,5223903744,0.90582687,37.13,15.64979,16.64,0
KEY,16.239569,14782262,20.15257,14782262,1.546587,19345168384,3.4148576,21.81,11.010928,8.96,1
KEYS,123.96669,936100,140.41028,936100,0.954496,26446487552,6.141776,155.5,22.462875,78.96,1
KFY,43.559566,418662,60.44486,418662,1.635427,3361923328,1.9830086,66.3,19.575472,22.18,0
KKR,40.224606,2251462,47.24057,2251462,1.404658,27948337152,3.2840583,49.79,16.04967,21.12,3
KLAC,254.8574,1906512,306.23172,1906512,1.265438,49294757888,8.116973,342.21,22.34218,125.56,3
KMT,35.759712,659187,38.940285,659187,2.102383,3380580608,1.9851332,42.92,26.450981,17.34,0
KMX,106.024895,1003387,126.52371,1003387,1.659263,21749610496,1.0938916,136.43,23.393356,47.06,1
KNSL,200.61226,157212,176.188,157212,0.821777,3823148032,8.3132515,252.695,36.181038,97.835,4
KOD,115.41784,325300,131.72858,325300,1.471927,5951721984,,171.21,-18.435816,41.08,0
KR,33.219425,9612662,34.35,9612662,0.304983,28183109632,0.21270593,42.99,12.927083,29.1,1
KSU,198.81093,2920512,218.10342,2920512,1.008125,23063341056,8.760671,260.29,23.949007,115.9,1
KTOS,24.204245,1541100,27.955143,1541100,0.973997,3212507392,4.2965193,34.11,47.30909,12.78,4
KWR,238.28726,106575,266.71573,106575,1.544962,4205438976,2.9664295,301.99,28.448069,108.14,0
L,43.065754,1553275,49.912285,1553275,0.903575,13894867968,1.107249,53.29,18.15862,27.33,1
LAD,303.6961,344750,380.558,344750,1.797941,10140768256,0.77267116,417.98,15.753647,64.77,0
LANC,176.73763,103437,180.93971,103437,0.199349,5060199936,3.703121,188.25,29.155554,116.87,4
LB,41.189064,3812662,54.498573,3812662,1.74052,17174942720,1.4497293,64.12,13.218884,8.8,0
LBRDK,150.40831,1181300,151.42328,1181300,1.036836,29875552256,589.19165,165.23,25.336077,105.15,3
LCII,128.13504,147412,141.604,147412,1.639219,3311440640,1.1842791,154.78,13.753396,55.29,0
LDOS,97.28942,879862,97.55286,879862,0.973456,13597485056,1.1057563,113.75,13.47339,79.15,1
LEN,81.064674,3863687,89.975716,3863687,1.500541,31351457792,1.3450375,103.79,9.134103,32.41,3
LH,211.909,696225,239.48058,696225,1.040628,24678160384,1.7654369,254.91,16.344538,110.4,1
LHCG,206.77274,205987,194.18372,205987,0.350487,6180792832,2.9957256,236.81,29.025225,116.26,4
LIVN,60.735214,365100,74.77515,365100,0.828277,3697931776,3.9582202,83.2,34.857796,39.49,4
LKQ,35.756836,1669737,40.490856,1669737,1.688515,12928241664,1.1117406,44.88,13.87987,17.09,0
LNC,46.516113,1929537,58.05057,1929537,2.230227,11928269824,0.6839996,67.37,5.780465,22.65,2
LNG,59.16187,1576750,70.629715,1576750,1.535211,18773823488,2.0202115,77.11,13.971698,30.58,1
LNT,51.723164,2213075,49.613716,2213075,0.325568,13486077952,3.947915,58.1,19.69708,43.61,4
LPLA,103.848564,682662,135.55457,682662,1.321776,11322672128,1.9283662,147.69,16.516317,47.57,0
LPSN,58.521584,676075,60.618572,676075,1.241603,3524095232,9.612392,72.23,866.50006,19.73,0
LPX,37.917915,1617200,48.588287,1617200,1.819609,5971902976,2.1420026,56.82,13.942786,13.41,0
LSCC,39.767483,1105600,45.40143,1105600,0.995666,6072984064,14.880388,51.5,42.01887,16.42,4
LULU,335.8489,1158825,317.222,1158825,1.350487,40926130176,10.056003,399.9,46.726192,177.77,3
LUMN,10.996403,12575525,13.003715,12575525,1.100216,14434546688,0.6969171,16.6,,8.51,1
LUV,46.73115,7670725,56.87057,7670725,1.258938,36202655744,4.0011773,62.76,21.734043,22.47,3
LW,74.38245,776912,80.237144,776912,0.798934,11802067968,3.3228414,86.41,26.097088,48.12,4
LXP,10.674101,1819875,11.066,1819875,0.640845,3200209152,9.684456,12.08,88.69231,8.4,4
LYB,87.76647,2245662,103.31343,2245662,1.573131,35274420224,1.2710128,112.73,9.658737,44.33,3
LYV,69.39741,2445237,86.04657,2445237,1.418201,18324670464,9.845737,94.63,191.0,28.5,1
M,11.09964,20197187,16.307428,20197187,2.1078,5098049024,0.28170684,22.3,16.58586,4.38,0
MAA,127.5413,750137,139.04286,750137,0.670097,16997060608,10.129454,148.91,59.199203,92.12,1
MAS,55.527626,1816212,55.578285,1816212,1.342361,15441377280,2.1482162,60.16,16.185984,32.01,1
MASI,247.3795,435987,244.28429,435987,0.818526,12681474048,11.087686,284.86,52.993073,173.15,4
MATX,58.554173,362737,71.88257,362737,0.997833,2940997376,1.2340021,79.05,15.857142,23.75,4
MAXR,35.382446,3590775,45.17143,3590775,1.313109,2698787840,1.5663307,58.75,7.5430865,8.65,0
MCHP,131.88287,2447725,151.342,2447725,1.721018,41848700928,7.89941,166.67,20.750334,61.62,3
MCK,170.88072,1044025,182.03543,1044025,0.851029,30892724224,0.13000838,194.15,10.312964,121.15,3
MDB,305.08374,1068012,353.35913,1068012,0.830319,16261509120,27.544138,428.965,-279.75787,117.71,1
MDC,50.584675,621675,57.30857,621675,1.479414,4119707904,1.0560075,61.58,7.4108725,19.07,0
MED,202.71892,162050,252.24028,162050,1.503791,2643588352,2.827845,279.46,18.388206,54.75,0
MEDP,135.55785,209475,160.80142,209475,1.382516,5932965888,6.4076095,177.12,31.745697,66.009,0
MGM,29.078417,8724112,37.622284,8724112,2.48754,18646061056,3.7920597,42.04,1884.0,10.0,2
MGNI,25.874245,3774175,50.152287,3774175,2.464247,4727968768,21.332903,64.39,,4.09,2
MHK,136.32065,754337,177.39972,754337,1.546045,13741199360,1.4385382,196.38,15.121329,60.05,0
MKC,92.453415,1311725,86.603714,1311725,0.472914,24071186432,4.2974286,105.535,28.821085,67.0,1
MKL,1029.6935,41612,1115.1038,41612,0.69014,15856543744,1.6288071,1169.5,18.290323,761.06,1
MKTX,529.9868,322375,532.7386,322375,0.441495,19674275840,28.549648,606.45,55.43897,316.15,1
MLM,282.3976,573237,330.52313,573237,0.687973,21254746112,4.795638,353.56,26.473234,151.94,1
MMS,75.18892,364812,84.46429,364812,0.819068,5454523904,1.5198478,88.82,20.884706,54.81,4
MMSI,52.975323,364837,57.682,364837,1.196641,3169914624,3.2887197,61.23,25.524662,28.06,0
MOH,208.81065,334687,222.00658,334687,0.717768,13672364032,0.7440742,246.72,14.775394,127.56,4
MOS,23.76518,6800925,30.753714,6800925,1.796858,11808746496,1.3601882,35.2,12.361111,9.35,0
MPC,41.2936,7263312,54.122856,7263312,2.177681,35871334400,0.5132027,59.93,19.934782,18.27,3
MPW,20.102303,3621125,21.702858,3621125,0.587757,12383000576,9.753043,22.75,16.550388,14.2,4
MPWR,331.25928,512725,356.16943,512725,0.944203,16011601920,18.96094,406.75,51.84195,151.02,1
MRNA,115.52683,6938387,151.98914,6938387,1.473736,53381971968,66.44549,189.26,8.963013,28.27,3
MRTX,201.87346,431550,193.73772,431550,1.476706,8353596928,623.4958,249.42,-21.59424,70.78,0
MRVL,45.133453,11020400,47.721428,11020400,1.16793,31737628672,10.690029,55.7,26.6875,21.29,3
MSCI,398.42203,430287,418.90143,430287,0.921993,35158630400,20.737783,455.81,40.54103,265.29,3
MSI,170.4369,802837,181.18915,802837,0.765438,32047710208,4.3225937,189.73,19.853403,123.56,3
MSTR,421.76007,679000,801.3837,679000,1.495666,5982300672,12.444071,1315.0,95.26717,104.67,0
MTB,125.785034,1210725,151.65172,1210725,1.208559,19956279296,3.8714266,164.72,12.864013,85.09,1
MTD,1107.3809,140150,1125.7928,140150,1.001625,27123955712,8.791701,1271.67,35.448944,611.82,1
MTH,92.094894,404075,86.928856,404075,1.68364,3475120896,0.7720403,117.06,6.4155126,28.94,0
MTN,267.30756,732187,301.92856,732187,1.316901,11532578816,7.2635827,333.95,37.513763,129.52,0
MTSI,49.604965,1162587,63.497715,1162587,2.347237,3995419136,7.141768,69.29,27.190697,17.45,2
MTZ,66.66691,821925,89.41143,821925,1.343986,6688420864,1.0581312,99.38,16.62915,27.09,0
MUSA,129.11792,440700,129.23514,440700,1.007583,4155683840,0.43724248,152.64,19.256311,79.9,4
MXIM,82.724174,2404450,91.35714,2404450,1.244853,24965337088,10.601308,98.44,29.015575,45.32,1
NBIX,100.774536,1567575,102.407715,1567575,0.834777,9287264256,8.879686,136.26,20.812632,82.51,4
NDAQ,133.00389,1269262,143.64714,1269262,0.834236,24838053888,4.414085,150.8,22.00292,90.0,1
NDSN,196.8087,247712,195.13342,247712,0.984832,11825667072,5.4932837,216.87,27.54939,120.91,4
NEO,47.035397,1055887,51.402,1055887,0.706392,5423677440,12.2031765,61.57,125.35135,24.05,4
NEOG,78.38748,245012,83.99743,245012,0.444203,4668834816,10.372699,89.32,64.15441,59.5,4
NGVT,66.80431,330125,72.88143,330125,2.236911,3286659072,2.7026224,79.68,13.382868,31.85,2
NHI,65.93144,345537,71.55315,345537,0.945287,3460793600,10.497273,78.56,20.631435,36.61,4
NJR,34.213814,868825,39.480858,868825,0.540628,3827878400,2.1349766,42.57,17.597345,25.87,4
NLOK,20.631727,4131600,20.908,4131600,1.017876,12574880768,5.044076,24.4,,17.98,1
NLY,7.9930215,16657000,8.567715,16657000,1.270855,12544544768,10.316823,9.02,8.462265,3.83,0
NOVT,121.071365,159175,133.31972,159175,1.043878,4669813760,7.90659,146.16,51.459145,66.89,4
NSIT,73.52324,307137,88.898,307137,1.834777,3393416704,0.40685627,100.09,12.8721695,38.34,0
NSP,81.30878,398962,86.599144,398962,1.56013,3186556928,0.7433063,95.78,17.780384,30.88,0
NSTG,57.85712,702787,70.57514,702787,1.737269,2809576448,23.948792,86.42,-31.51,21.58,0
NTAP,57.597626,1710662,67.82143,1710662,1.273564,16639424512,2.9766412,74.84,16.61111,37.08,1
NTLA,47.179962,1542250,64.197426,1542250,2.035959,4383923712,75.59271,92.0,-20.228127,11.02,0
NTRA,92.30518,868000,108.89,868000,1.510834,8106855424,20.733381,127.19,-26.754286,24.915,0
NTRS,91.075615,1595750,99.63114,1595750,1.093174,22008012800,3.6828563,106.65,14.887482,67.43,1
NUAN,40.64453,3212925,45.34686,3212925,1.176598,12291786752,8.400947,51.62,51.333332,15.52,0
NUE,54.298847,4074587,63.335144,4074587,1.406825,23686037504,1.1760894,79.34,19.341465,32.16,1
NUVA,53.827984,775700,61.873714,775700,1.32611,3467568640,3.3006167,69.28,24.631386,42.98,0
NVAX,145.47597,3084350,230.14258,3084350,1.577464,13451182080,28.282671,331.68,5.429934,12.87,0
NVCR,142.11075,801162,154.448,801162,1.035211,12756438016,25.80363,194.75,270.7826,55.4,1
NVR,4273.7188,32400,4620.883,32400,1.005958,17361358848,2.2956285,4832.8,13.43749,2294.72,1
NVRO,160.43907,433187,160.19629,433187,0.997291,4760508928,13.148833,188.14,-104.95421,82.96,4
NVTA,45.96036,4578600,42.91943,4578600,2.033044,6774765056,24.230375,61.59,-20.264706,10.022,0
NWE,56.201294,375887,60.40143,375887,0.424702,3282272000,2.7382617,65.38,17.524323,47.43,4
O,61.16043,3762512,61.936,3762512,0.72156,23979171840,14.518533,66.8,42.529804,43.41,1
ODFL,203.67654,874075,220.852,874075,1.008125,27567898624,6.8660054,236.98,28.680048,119.01,1
OGS,73.58777,366775,72.78743,366775,0.385698,3992767488,2.6091948,92.0,18.157385,65.51,4
OKE,37.54777,3525137,47.39857,3525137,2.00975,22774282240,2.6660779,51.91,15.699387,18.54,3
OMC,61.268776,2461275,72.094,2461275,0.916576,16240800768,1.2330633,77.94,12.200322,44.5,1
OMCL,107.49964,559600,132.16629,559600,1.004333,6033141248,6.7620344,146.0,35.396465,56.16,4
ON,31.433453,6756187,39.681427,6756187,1.975622,16738843648,3.1853175,42.38,20.42211,10.61,0
ONB,16.345324,1050225,19.069143,1050225,0.985915,3323380224,4.2706814,21.28,14.328571,11.19,4
ORA,83.71525,886037,93.95657,886037,0.403575,4213862912,5.974212,128.87,37.44776,53.44,4
ORLY,458.02295,618337,465.07858,618337,1.042253,35425132544,3.0527081,507.27,19.27501,283.59,3
OSTK,70.11762,1927775,79.711716,1927775,4.373239,2818187264,1.1052655,128.5,34.67725,4.1,2
OVV,15.373813,3556562,24.031713,3556562,4.650555,6317149184,1.1466961,28.69,,2.39,2
OXY,18.023382,19360762,27.371714,19360762,2.479414,25859966976,1.4520729,32.52,-25.703703,8.52,2
PACB,23.522158,3576237,35.889713,3576237,1.141386,5934055424,75.2165,53.69,-40.43421,2.54,0
PANW,308.30734,1443050,355.9837,1443050,1.453954,31089430528,8.218846,403.0,45.22065,158.0,3
PAYC,382.9141,321025,386.1397,321025,1.425243,22426836992,26.653116,471.08,68.494484,163.42,1
PAYX,88.63784,2554525,93.32486,2554525,0.896533,36358819840,9.149865,101.01,32.006348,58.85,3
PCAR,90.00288,1829925,95.16286,1829925,1.062296,32519608320,1.7363702,103.19,13.919763,58.21,3
PCG,11.222014,18804412,11.435429,18804412,1.379739,23955085312,1.297043,13.34,8.810219,7.85,1
PCH,47.76144,605000,52.295715,605000,1.368905,3504558336,3.366757,54.85,29.925714,25.61,0
PCRX,64.04259,423275,72.80143,423275,1.144637,3148083200,7.3271384,80.0,17.128878,30.5,0
PDCE,21.13928,1451562,33.698,1451562,3.471289,3508310272,3.190568,42.79,9.015385,5.11,2
PEAK,29.386332,3715787,30.742285,3715787,0.66143,17276270592,10.50309,33.12,,19.67,1
PEB,18.13885,1679887,23.238571,1679887,2.066088,3315728896,7.486608,26.42,-30.792683,8.38,0
PEG,57.286762,2342587,57.533142,2342587,0.56013,29952014336,3.1190267,62.15,16.84659,41.63,1
PENN,87.483665,9199037,117.68486,9199037,2.750812,16678278144,4.660429,142.0,41.632812,8.69,2
PFG,49.16626,2342462,57.872856,2342462,1.62026,16528587776,1.1212132,61.95,8.942478,25.8,0
PFGC,45.765682,1103462,54.531715,1103462,1.626218,7678530048,0.2879445,59.89,26.095453,19.63,0
PH,258.93396,875162,294.9,875162,1.797399,40994832384,3.035422,321.74,19.849375,113.8,3
PHM,45.26187,3523150,47.616573,3523150,1.407367,13916727296,1.2610207,52.67,7.637155,18.28,0
PKG,128.0341,736037,134.218,736037,0.990249,12873791488,1.9335243,148.14,18.438097,80.17,1
PKI,133.80287,948462,131.78857,948462,1.129469,14517632000,3.8378563,162.7,20.861513,69.6,1
PLUG,33.856045,43369337,47.786858,43369337,1.564463,20066945024,-199.7327,75.49,-189.05554,3.22,1
PNM,47.441296,1363450,48.472286,1363450,0.533586,4214493184,2.7672095,50.25,19.407114,34.24,4
PODD,253.29654,678312,265.43057,678312,0.659263,17630222336,19.493834,298.43,159.76048,155.08,1
POOL,343.7675,438375,336.74313,438375,0.745937,13752821760,3.4935582,401.29,32.527115,176.19,1
POR,41.20554,874637,44.29343,874637,0.315276,4251262464,1.9819406,53.42,17.133574,31.96,4
POWI,74.26252,402700,86.115715,402700,0.995124,4991680512,10.222192,99.05,37.954338,39.375,4
PPBI,31.48036,497912,41.507713,497912,1.36728,4223410432,9.308407,47.15,17.293438,15.59,0
PPG,138.82971,1315950,142.00743,1315950,1.131635,36683980800,2.6517262,154.94,18.720676,78.01,3
PPL,28.044891,7926287,27.95457,7926287,0.783315,22508191744,2.9588788,30.94,11.301159,21.4,1
PRG,50.613846,598362,48.959145,598362,2.013542,3045019136,1.2255596,60.5,,15.572519,0
PRLB,152.52669,487337,152.34543,487337,1.827735,3318661120,7.6397314,286.57,48.088,66.01,0
PRSP,24.022734,1615687,29.04143,1615687,1.417935,4671059456,1.0419495,29.62,15.183247,16.11,0
PRU,76.92662,3171937,87.968575,3171937,1.680931,36370366464,0.63705957,95.49,7.1971836,45.04,3
PSB,133.76813,98350,148.102,98350,0.499458,4338816512,10.439308,159.65,41.97872,106.79,4
PTC,111.678345,792375,135.94571,792375,1.257854,14951742464,9.763734,147.67,35.452877,52.96,1
PTCT,57.908634,662300,57.785,662300,0.988082,3460560640,9.088418,70.82,-13.823033,40.03,4
PWR,69.75978,1269912,82.15514,1269912,1.26273,12057124864,1.0762722,88.97,18.078838,28.71,0
PXD,114.81425,2663812,150.44714,2663812,1.994041,35694551040,5.080352,169.49,14.086325,62.19,3
PZZA,87.68072,461050,93.295715,461050,0.940411,2912616704,1.6063104,110.33,34.271317,47.03,4
QGEN,51.03604,610437,51.007713,610437,0.283856,11220368384,5.999087,59.0,21.408697,39.05,4
QLYS,104.35338,581875,103.20743,581875,0.600758,4129747200,11.377873,148.84,36.07192,81.8,4
QRVO,156.36719,1025537,174.15572,1025537,1.432827,20670496768,5.5411696,191.825,17.649902,72.93,1
QTS,62.57086,548000,62.028572,548000,0.541711,4121443584,7.6703134,72.6,333.78946,52.88,4
QTWO,113.00705,618950,121.90686,618950,1.627302,5707288576,14.170762,148.56,180.08772,51.69,0
RAMP,64.46417,898012,61.571712,898012,1.226435,3546728192,8.256807,87.38,165.625,27.33,0
RARE,121.76381,489900,134.88542,489900,1.971289,7273360896,26.835999,179.647,-25.622643,41.51,0
RCII,40.9541,551750,56.700855,551750,1.66143,3221291008,1.1446596,64.79,9.48718,12.34,0
RCL,73.18216,5102800,84.40886,5102800,2.918743,21525508096,9.745317,99.24,60.83453,22.25,2
RCM,22.210684,1305287,27.277857,1305287,0.804983,6307354624,4.9632945,31.28,43.142857,7.765,4
RDFN,62.58115,2253987,77.55857,2253987,1.95134,6626856960,7.4787374,98.445,194.57574,12.95,0
RDN,19.29705,1559275,21.542572,1559275,1.501625,4362841600,3.0326638,24.04,7.536424,9.53,0
REGI,70.00223,2397087,85.064285,2397087,0.992416,2875508480,1.3454887,117.0,12.148571,16.94,4
REZI,19.775467,1065000,27.65257,1065000,2.580162,4216875008,0.83156675,31.67,15.34375,3.72,2
RF,16.192806,12313350,20.652857,12313350,1.554171,20174153728,4.071474,22.61,11.170213,7.9,1
RGEN,187.49223,543212,204.774,543212,0.842361,10051081216,27.442476,228.84,82.662155,92.0,4
RH,438.12598,961375,489.3197,961375,2.434994,11795681280,4.140832,581.6,25.31436,84.61,2
RHP,60.060432,617500,77.97172,617500,1.842361,4343696384,8.385126,86.58,415.7895,22.01,0
RJF,94.820435,956587,117.69572,956587,1.254062,17019703296,2.1357388,124.02,14.801196,56.56,1
RLI,98.81389,217762,108.435715,217762,0.357529,5140296704,5.225865,117.84,36.831715,66.31,4
RMD,196.69957,650450,192.77943,650450,0.313651,27782031360,8.985845,224.43,34.216846,138.16,1
RNG,330.51956,945512,365.31085,945512,0.629469,26306168832,22.224487,449.0,185.15924,194.99,1
ROCK,76.78964,377737,91.314575,377737,1.143553,2987412224,2.893159,103.02,22.70297,36.39,0
ROG,148.0277,102587,184.94229,102587,1.853196,3581946624,4.4630237,199.5,22.325176,79.82,0
ROK,245.61151,663875,253.65143,663875,1.374322,31774199808,5.116124,274.1,28.55428,140.06,3
ROKU,307.28516,3658575,391.8523,3658575,1.894052,39402438656,22.156267,486.72,557.85455,79.38,3
ROLL,163.6744,119212,192.33829,119212,1.436619,4875322368,7.6833363,206.64,43.875565,103.09,0
RPD,75.246765,941250,80.17514,941250,1.270855,3902036224,9.482792,94.596,264.5,35.36,0
RPM,86.57604,548325,85.765144,548325,0.984832,12276518912,2.1441739,98.35,20.292473,55.85,4
RSG,94.39511,1496587,93.32686,1496587,0.672806,32301176832,3.1812537,103.79,24.825981,71.32,3
RUN,65.44849,6003162,62.97886,6003162,2.190682,11565520896,12.541351,100.93,-178.40625,8.75,2
RXN,38.578705,873800,46.33657,873800,1.442369,5707980288,2.987221,51.54,21.495495,19.3,0
SAFM,137.05719,168925,155.71486,168925,0.627302,3528872960,0.96668345,167.41,19.108826,105.74,4
SAIA,175.65079,163837,211.79314,163837,1.242145,5979211264,3.2810156,229.87,28.891857,62.03,0
SAIL,49.827698,957925,56.568287,957925,1.99323,4630221312,12.676716,64.19,839.1667,13.02,0
SAVE,24.909784,4309887,35.534,4309887,1.725893,3617004288,1.9983206,40.77,24.993244,7.25,0
SBNY,140.61928,1016237,221.19057,1016237,1.969122,12678630400,9.417767,249.94,15.863014,68.98,0
SBRA,16.49892,2797237,17.844,2797237,1.498916,3737119232,6.2169785,18.95,23.335527,8.58,0
SEDG,277.94864,813312,294.0,813312,0.983206,14223626240,9.747076,377.0,44.19071,72.8,1
SEM,26.18331,893200,31.414858,893200,1.438244,4653294080,0.8412031,37.42,12.503623,11.92,0
SF,48.94698,726812,62.167713,726812,1.502708,6791817728,1.8266727,68.94,12.636719,23.26,0
SFIX,52.962013,2114537,67.31214,2114537,2.279428,5179050496,2.8619168,113.759,-95.4902,11.13,2
SFNC,22.426188,722412,29.669428,722412,0.954496,3344211712,4.1138315,33.43,15.166667,13.75,4
SGEN,174.80411,1263000,154.54828,1263000,0.957746,25303175168,11.630776,213.94,310.37778,109.4,1
SHAK,91.78791,623550,120.53343,623550,1.710184,4826676736,9.231174,138.38,205.35715,30.57,0
SHO,10.351871,2133962,12.486,2133962,1.453954,2751372800,10.269918,13.74,-1273.0,6.68,0
SHOO,30.737122,784712,37.134285,784712,1.326652,3196942592,2.6600976,40.49,19.325,17.83,0
SIGI,62.96777,308025,70.79028,308025,0.834236,4466956288,1.5285891,77.84,15.634453,42.14,4
SITE,146.55244,269075,166.11,269075,1.226864,7884384256,2.9152834,181.982,49.380558,60.0,0
SIVB,384.13892,904687,519.84174,904687,2.086132,26555408384,7.0309653,577.06,21.615993,136.63,3
SJM,116.24777,1319062,118.42086,1319062,0.286023,13917835264,1.7025917,131.69,14.907193,101.89,4
SLAB,123.619354,307000,148.6063,307000,1.05092,6316057088,7.1232896,163.43,36.811855,76.64,4
SMTC,66.72791,583212,72.276,583212,1.725893,4437590528,7.4566693,83.94,24.915749,34.62,0
SNA,176.35,541762,207.66486,541762,1.282231,12500529152,3.1709526,229.84,17.475647,94.0,0
SNBR,87.33964,530837,133.16544,530837,2.05092,3573307648,1.924698,151.44,20.708824,15.27,0
SNPS,237.47188,1026812,249.35342,1026812,1.079631,36988542976,9.67977,300.91,33.76217,122.51,3
SONO,24.314173,3262212,38.13457,3262212,1.962698,4530961408,3.2138376,43.71,37.84,7.67,0
SPG,86.655464,3632200,111.904854,3632200,1.56338,37669208064,8.181768,121.92,25.595982,42.25,3
SPLK,176.17029,2536162,149.04686,2536162,1.32936,21863061504,9.806768,225.89,540.76,101.1,1
SPOT,290.3251,1127387,303.52972,1127387,1.63079,49856643072,5.302047,387.44,-284.0326,116.0,3
SPSC,96.61799,191537,104.65,191537,0.833694,3542031360,11.329786,118.06,52.389473,43.12,4
SR,62.264675,378925,69.412,378925,0.271397,3825763840,2.1241262,81.47,16.945082,50.58,4
SSB,69.97331,417700,82.77743,417700,1.074756,5755780096,6.3838487,93.26,13.804089,40.42,4
SSD,96.377556,243050,100.98857,243050,1.254604,4522015232,3.566413,109.85,22.059324,56.32,0
SSNC,66.40036,1369800,67.36943,1369800,1.587757,17561982976,3.7622879,74.0,14.1684,39.91,0
STAA,82.04734,729687,104.316574,729687,0.963163,4667665408,28.555399,128.23,147.41176,28.58,4
STAG,31.47777,1528050,32.605713,1528050,0.917118,5440604672,11.254615,34.7,64.528305,20.64,4
STE,183.83273,688925,181.39828,688925,0.535211,16531052544,5.407644,203.91,27.74785,131.14,1
STMP,217.8962,258262,208.208,258262,0.282773,3635357952,4.796113,325.13,20.985153,117.28,4
STNE,70.1495,2258750,79.37629,2258750,2.457267,19223726080,69.116684,95.12,38.37037,17.72,2
STT,70.944176,2679962,78.576,2679962,1.582881,30214897664,2.601369,87.89,10.831021,47.68,3
SUI,145.63963,691612,149.25543,691612,0.555796,16760258560,12.120024,157.7,72.192314,105.36,1
SUM,21.275324,1792650,27.038286,1792650,1.348862,3303828992,1.4164623,31.0,22.661419,10.37,0
SWAV,98.48316,417112,118.00543,417112,1.216014,3639319808,53.685993,143.785,-174.08333,26.332,0
SWK,176.46014,1552337,183.83456,1552337,1.443661,32511647744,2.236845,202.31,18.025871,88.54,3
SWKS,156.68036,1830175,179.67572,1830175,1.162513,30075729920,7.576514,195.82,16.946976,79.51,3
SWX,64.27518,897525,65.267426,897525,0.154929,3852861440,1.1679326,81.62,15.64186,57.0,4
SXT,71.171005,365150,77.70772,365150,0.974539,3308992768,2.484227,82.0,23.047195,38.24,4
SYF,33.060505,8183375,39.64143,8183375,1.821776,24126003200,4.1226935,43.61,8.198413,12.98,3
SYNA,97.909134,428062,132.88457,428062,1.205308,4785333248,3.7046785,144.45,16.435776,52.05,0
TCBI,57.28741,1240187,79.24457,1240187,1.955037,3917082624,4.9188447,93.26,16.702587,19.94,0
TDG,560.1436,230300,592.9934,230300,1.67118,32071757824,6.75764,626.0,34.680073,260.0,3
TDOC,216.57756,4111350,228.116,4111350,0.117551,27011102720,24.69108,308.0,-188.18085,135.52,1
TDY,364.3003,221387,389.12143,221387,1.073672,14837796864,4.8077884,413.31,30.948263,270.1,1
TECH,315.28546,183337,379.3677,183337,1.112676,15063245824,18.853424,414.99,54.528088,180.16,1
TENB,41.857624,1100837,41.37514,1100837,1.78464,3932560640,8.933151,58.45,85.90909,19.9,0
TER,109.05798,2376437,123.38057,2376437,1.365113,19824564224,6.351037,147.9,22.713741,51.15,1
TFX,379.60352,226762,404.78427,226762,1.207475,19283820544,7.6005654,434.98,28.020353,271.99,1
TGNA,14.903669,2406825,18.678572,2406825,1.258396,4094387712,1.3937013,20.78,6.383561,9.61,0
TGTX,38.747337,1600562,46.817856,1600562,2.132177,6481014272,42638.25,56.74,-57.624996,8.75,0
THC,39.13223,1116937,52.60943,1116937,2.638136,5655998976,0.32063487,57.88,10.891616,11.67,2
TMHC,26.373596,1134487,28.869715,1134487,1.738894,4041365760,0.6593498,31.44,6.138943,7.85,0
TNET,75.194176,251250,81.334854,251250,1.458288,5192148480,1.2870969,87.6,18.004578,32.74,0
TPR,29.700287,3903925,41.604286,3903925,1.514084,11613628416,2.500189,46.42,14.513888,10.18,0
TREX,82.99295,910875,95.27857,910875,1.468039,10587286528,12.019657,107.64,42.110596,33.21,0
TRMB,62.497555,1579850,73.534,1579850,1.526543,18747832320,5.956042,77.69,28.188677,27.79,1
TRNO,57.675755,373550,57.88,373550,0.56338,4080434688,21.834051,64.24,62.368423,44.53,4
TROW,149.5754,1377075,168.09457,1377075,1.173347,40516202496,6.5278172,179.62,14.216282,92.36,3
TRTN,46.491943,566787,56.277714,566787,1.700564,3851657216,2.8311038,61.88,7.4634466,24.31,0
TRU,90.092445,1323362,88.80829,1323362,1.24702,17656911872,6.499636,102.8,24.956873,58.76,1
TRUP,95.63011,495050,95.46314,495050,1.965872,3002771968,5.9812837,126.525,,23.8,0
TSCO,147.68266,1179787,164.576,1179787,1.008125,20739553280,1.9528122,178.58,24.788889,79.22,1
TSN,64.807915,2386812,71.18943,2386812,0.808775,27712413696,0.6470328,78.14,11.834891,52.33,1
TT,142.59367,1285937,157.72,1285937,1.241061,40077529088,3.2178638,169.13,,73.73,3
TTC,92.47533,568400,100.971146,568400,0.776814,11229070336,3.2227502,105.55,27.171875,57.89,4
TTD,728.59296,797675,772.69226,797675,2.577457,31801661440,38.03876,972.8,94.93777,153.5,3
TTEK,118.28539,293912,133.92029,293912,0.875947,7235219968,3.0923445,144.69,34.2982,64.67,4
TTWO,179.51439,1428425,182.208,1428425,0.617551,20074373120,6.094442,214.91,28.202265,112.89,1
TWLO,329.81036,2597762,382.0397,2597762,1.498179,54517161984,30.944435,457.3,1065.9667,79.25,3
