,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
CERN,74.15029,2752025,72.24229,2752025,0.716684,22184876032,4.0293736,84.2,20.402817,59.61,1
CFG,34.94295,8151050,43.354286,8151050,1.788732,19134019584,3.6177008,47.56,11.366161,16.58,0
CGNX,75.92539,1020725,82.901146,1020725,1.647345,14457294848,17.826063,101.82,49.313255,40.08,0
CHD,86.79777,1928950,81.96229,1928950,0.361863,21408436224,4.372817,98.96,26.631098,61.89,1
CHDN,195.47467,287800,230.12343,287800,1.408992,8977459200,8.517513,258.32,28.91439,76.5,0
CHGG,84.87949,1416337,95.60743,1416337,0.854821,11975950336,18.586441,115.21,41.81373,32.53,4
CHRW,95.23072,1055525,92.84371,1055525,0.72481,12812572672,0.7905528,106.75,20.787233,61.94,4
CHX,14.258417,1983562,20.953571,1983562,3.448054,4452305408,2.3433235,25.59,,5.25,2
CINF,86.005684,1217300,100.106285,1217300,0.637594,17036422144,2.2606716,108.99,25.248209,46.07,1
CIT,35.235683,1236000,48.04114,1236000,1.517876,5182164992,3.2051985,54.68,12.742719,12.31,0
CLDR,12.9119425,5607550,15.320286,5607550,1.215072,3534670080,4.066307,19.35,23.784315,7.19,0
CLF,12.188058,14958525,15.945714,14958525,2.292524,8266889216,1.5440586,18.77,11.506944,3.3,2
CLNY,4.4922304,2996850,6.0585713,2996850,1.993945,3070661120,2.434959,7.003,-24.92,1.33,0
CLX,201.48195,1654862,186.39285,1654862,0.178223,23931738112,3.1807203,239.87,23.34356,170.69,1
CMC,22.24374,1781612,26.499714,1781612,1.311484,3824987392,0.6824378,31.82,15.114286,13.05,0
CMD,65.273094,499025,76.473145,499025,1.55092,3402509568,3.2057683,89.1,24.845678,26.19,0
CMG,1361.9799,257762,1452.5254,257762,1.306608,40681734144,6.797698,1564.91,47.455025,599.78,3
CMI,232.90698,1175900,256.982,1175900,1.137594,38748413952,1.955904,277.09,15.875379,127.3,3
CMS,60.12604,2713512,56.81286,2713512,0.154929,17634725888,2.639929,67.98,19.911766,52.35,1
CNMD,103.49079,279987,122.63571,279987,1.521668,3739988736,4.336425,129.38,35.99443,49.54,0
CNNE,39.99036,662925,39.41257,662925,0.670552,3635806720,6.207627,46.57,-198.34999,26.41,4
CNO,21.305037,1420787,24.463428,1420787,1.438244,3366099968,0.88092434,26.64,11.111111,10.39,0
CNX,11.522086,5027925,13.849428,5027925,1.685265,3434994176,3.1638987,15.85,15.019231,4.55,0
COLB,35.493526,470725,45.656857,470725,0.945287,3231373568,6.132674,50.68,20.411764,19.11,4
COO,357.14035,319612,384.3937,319612,0.836944,18866649088,7.6531916,401.92,26.58241,264.01,1
COUP,307.29953,2119650,311.0017,2119650,1.551893,17921689600,33.087643,377.042,409.99997,120.0,1
CPRT,113.510284,1437462,111.292,1437462,1.017876,25387534336,11.105707,130.96,30.00838,61.51,1
CREE,91.52158,1764737,112.424,1764737,1.528169,12388192256,13.795315,129.9,-275.64102,31.08,0
CRL,252.06561,300025,284.008,300025,1.098049,14337537024,4.903511,303.79,27.803091,116.42,1
CROX,63.20489,1243212,78.848854,1243212,1.738353,5271184384,3.8032978,86.4,18.432495,13.51,0
CSGP,866.0479,269975,844.41315,269975,0.888407,32177408000,19.395443,952.76,57.0559,520.17,3
CSOD,42.604244,752825,48.381714,752825,1.384615,2859803392,3.8598216,55.5,17.295277,27.69,0
CTAS,340.7579,450237,341.75772,450237,1.492416,36407566336,5.2762585,369.2,33.981373,158.89,3
CTB,41.35993,713387,52.725716,713387,1.650595,2818951936,1.1181552,59.02,12.967518,15.46,0
CTLT,101.61057,1790075,110.71114,1790075,1.478331,17584449536,5.075317,127.68,31.882717,47.01,1
CTXS,130.99518,1261500,134.928,1261500,0.181473,16801801216,5.1910286,173.56,18.590477,111.26,1
CVET,29.390612,846612,34.18257,846612,2.209844,4168560384,0.96071917,40.775,28.858492,6.26,2
CVNA,244.13928,1502712,280.65085,1502712,2.492728,44615598080,7.986231,323.39,-315.85367,44.001,3
CWST,59.21259,225400,61.667713,225400,0.949079,3381620736,4.365725,66.2,67.54082,35.18,4
CZR,70.53568,9363962,88.64571,9363962,3.219393,18230484992,5.2598057,106.2,291.76666,9.57,2
DAL,38.98043,12763625,46.826286,12763625,1.48104,30414086144,1.7791218,52.28,12.2835045,17.51,3
DAN,18.836187,1310900,24.096285,1310900,2.64247,3554092288,0.5001537,27.47,8.032787,6.5,2
