As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,OSW,ONESPAWORLD HOLDINGS LTD COMMON STOCK USD.0001,0.0176111500,1060190.1600000000
2021-02-28,ISEE,IVERIC BIO INC COMMON STOCK USD.001,0.0175333900,1055508.9800000000
2021-02-28,AKBA,AKEBIA THERAPEUTICS INC COMMON STOCK USD.0001,0.0175255500,1055037.0400000000
2021-02-28,KYMR,KYMERA THERAPEUTICS INC COMMON STOCK,0.0175127100,1054264.5400000000
2021-02-28,TR,TOOTSIE ROLL INDS COMMON STOCK USD.694,0.0174521900,1050621.0000000000
2021-02-28,CMRE,COSTAMARE INC COMMON STOCK USD.0001,0.0174456800,1050228.8000000000
2021-02-28,CATC,CAMBRIDGE BANCORP COMMON STOCK USD1.0,0.0173229700,1042842.0400000000
2021-02-28,RLMD,RELMADA THERAPEUTICS INC COMMON STOCK,0.0173019200,1041574.9400000000
2021-02-28,BMRC,BANK OF MARIN BANCORP/CA COMMON STOCK,0.0172806100,1040292.0000000000
2021-02-28,BY,BYLINE BANCORP INC COMMON STOCK USD.01,0.0172122800,1036178.6400000000
2021-02-28,ATOM,ATOMERA INC COMMON STOCK USD.001,0.0172053900,1035763.6400000000
2021-02-28,VRAY,VIEWRAY INC COMMON STOCK USD.001,0.0171898600,1034828.5600000000
2021-02-28,KALV,KALVISTA PHARMACEUTICALS INC COMMON STOCK USD.001,0.0171481100,1032315.2200000000
2021-02-28,CMRX,CHIMERIX INC COMMON STOCK USD.001,0.0171098300,1030010.7600000000
2021-02-28,CRMD,CORMEDIX INC COMMON STOCK USD.001,0.0171005100,1029450.0000000000
2021-02-28,AFMD,AFFIMED NV COMMON STOCK USD.01,0.0170832900,1028413.2600000000
2021-02-28,FLXN,FLEXION THERAPEUTICS INC COMMON STOCK USD.001,0.0170764400,1028000.7000000000
2021-02-28,PAE,PAE INC COMMON STOCK USD.0001,0.0170545500,1026683.0500000000
2021-02-28,MCFT,MASTERCRAFT BOAT HOLDINGS IN COMMON STOCK USD.01,0.0170384300,1025712.6000000000
2021-02-28,ARDX,ARDELYX INC COMMON STOCK USD.000001,0.0170193400,1024563.1500000000
2021-02-28,UBA,URSTADT BIDDLE   CLASS A REIT USD.01,0.0170114300,1024087.4800000000
2021-02-28,BLX,BANCO LATINOAMERICANO COME E COMMON STOCK,0.0169974200,1023244.0400000000
2021-02-28,PRAX,PRAXIS PRECISION MEDICINES I COMMON STOCK USD.0001,0.0169859700,1022554.5000000000
2021-02-28,VAPO,VAPOTHERM INC COMMON STOCK USD.001,0.0169777200,1022058.0000000000
2021-02-28,RRGB,RED ROBIN GOURMET BURGERS COMMON STOCK USD.001,0.0169677100,1021455.2700000000
2021-02-28,NPTN,NEOPHOTONICS CORP COMMON STOCK USD.0025,0.0169340500,1019428.8000000000
2021-02-28,GRBK,GREEN BRICK PARTNERS INC COMMON STOCK USD.01,0.0168042700,1011616.2900000000
2021-02-28,PHAT,PHATHOM PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0167726700,1009714.1000000000
2021-02-28,TITN,TITAN MACHINERY INC COMMON STOCK USD.00001,0.0167642000,1009204.0000000000
2021-02-28,AKTS,AKOUSTIS TECHNOLOGIES INC COMMON STOCK USD.001,0.0167520700,1008473.8800000000
2021-02-28,ITOS,ITEOS THERAPEUTICS INC COMMON STOCK,0.0167356200,1007483.4000000000
2021-02-28,EAR,EARGO INC COMMON STOCK USD.0001,0.0166885900,1004652.0000000000
2021-02-28,KBAL,KIMBALL INTERNATIONAL B COMMON STOCK USD.05,0.0166507000,1002371.2200000000
2021-02-28,ATEX,ANTERIX INC COMMON STOCK USD.0001,0.0166443900,1001991.2100000000
2021-02-28,OTRK,ONTRAK INC COMMON STOCK USD.0001,0.0166383300,1001626.3600000000
2021-02-28,LPG,DORIAN LPG LTD COMMON STOCK USD.01,0.0166170400,1000345.0500000000
2021-02-28,ASPN,ASPEN AEROGELS INC COMMON STOCK USD.00001,0.0165844000,998379.7500000000
2021-02-28,EGRX,EAGLE PHARMACEUTICALS INC COMMON STOCK USD.001,0.0164746200,991771.5000000000
2021-02-28,CCCC,C4 THERAPEUTICS INC COMMON STOCK,0.0164301000,989091.4000000000
2021-02-28,MBWM,MERCANTILE BANK CORP COMMON STOCK,0.0163996700,987259.3600000000
2021-02-28,ANNX,ANNEXON INC COMMON STOCK,0.0163581900,984762.1900000000
2021-02-28,DRRX,DURECT CORPORATION COMMON STOCK USD.0001,0.0163230600,982647.4800000000
2021-02-28,SCVL,SHOE CARNIVAL INC COMMON STOCK USD.01,0.0163023900,981403.2000000000
2021-02-28,CENT,CENTRAL GARDEN + PET CO COMMON STOCK USD.01,0.0162978500,981129.6000000000
2021-02-28,PAND,PANDION THERAPEUTICS INC COMMON STOCK,0.0161310100,971086.2000000000
2021-02-28,FCBC,FIRST COMMUNITY BANKSHARES COMMON STOCK USD1.0,0.0160213200,964482.4200000000
2021-02-28,WLDN,WILLDAN GROUP INC COMMON STOCK USD.01,0.0160016300,963297.1800000000
2021-02-28,PAHC,PHIBRO ANIMAL HEALTH CORP A COMMON STOCK USD.001,0.0159958500,962949.5100000000
2021-02-28,ARAY,ACCURAY INC COMMON STOCK USD.001,0.0159625700,960945.7800000000
2021-02-28,SYX,SYSTEMAX INC COMMON STOCK USD.01,0.0159481800,960079.5000000000
2021-02-28,MCS,MARCUS CORPORATION COMMON STOCK USD1.0,0.0159423400,959728.2400000000
2021-02-28,XONE,EXONE CO/THE COMMON STOCK USD.01,0.0159103300,957800.8000000000
2021-02-28,OIS,OIL STATES INTERNATIONAL INC COMMON STOCK USD.01,0.0159086700,957701.1500000000
2021-02-28,BFC,BANK FIRST CORP COMMON STOCK USD1.0,0.0158796200,955952.4000000000
2021-02-28,PASG,PASSAGE BIO INC COMMON STOCK USD.0001,0.0158444400,953834.6400000000
2021-02-28,LQDT,LIQUIDITY SERVICES INC COMMON STOCK USD.001,0.0157692200,949306.5400000000
2021-02-28,MLR,MILLER INDUSTRIES INC/TENN COMMON STOCK USD.01,0.0157381800,947437.8800000000
2021-02-28,VHC,VIRNETX HOLDING CORP COMMON STOCK USD.0001,0.0157353900,947269.9200000000
2021-02-28,FISI,FINANCIAL INSTITUTIONS INC COMMON STOCK USD.01,0.0156743800,943596.9400000000
2021-02-28,DMRC,DIGIMARC CORP COMMON STOCK USD.001,0.0156510500,942192.5000000000
2021-02-28,NAT,NORDIC AMERICAN TANKERS LTD COMMON STOCK USD.01,0.0156195000,940293.0900000000
2021-02-28,VKTX,VIKING THERAPEUTICS INC COMMON STOCK USD.00001,0.0156105000,939751.4600000000
2021-02-28,CIO,CITY OFFICE REIT INC REIT USD.01,0.0156077600,939586.6400000000
